index,Order ID,Date,Status,Fulfilment,Sales_Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship_city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
91877,406-8712400-6972359,06-28-22,Cancelled,Merchant,Amazon.in,Standard,JNE3801,JNE3801-KR-XS,kurta,XS,B09SDYJ5ZW,,0,INR,760.95,MUMBAI,MAHARASHTRA,400104.0,IN,,False,Easy Ship,False
91932,406-5949929-4979542,06-28-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3761,JNE3761-KR-XL,kurta,XL,B099NM4XNX,Cancelled,0,,,MUMBAI,MAHARASHTRA,400072.0,IN,,False,,False
92270,405-3838899-0456309,06-28-22,Cancelled,Merchant,Amazon.in,Standard,JNE2009,JNE2009-KR-310-L,kurta,L,B0756BSJ7P,,0,INR,286.67,MUMBAI,MAHARASHTRA,400008.0,IN,,False,Easy Ship,False
92453,407-3557879-2436304,06-28-22,Cancelled,Merchant,Amazon.in,Standard,SET357,SET357-KR-NP-XL,Set,XL,B09Y3FNR5D,,0,,,mumbai,MAHARASHTRA,400067.0,IN,,False,Easy Ship,False
92458,408-9829339-1007560,06-28-22,Cancelled,Amazon,Amazon.in,Expedited,SET357,SET357-KR-NP-XXXL,Set,3XL,B09Y3F7W6T,Cancelled,0,,,mumbai,MAHARASHTRA,400067.0,IN,,False,,False
92655,405-6127694-9861144,06-28-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2009,JNE2009-KR-310-L,kurta,L,B0756BSJ7P,Unshipped,1,INR,301.0,MUMBAI,MAHARASHTRA,400008.0,IN,,False,,False
92733,404-0619388-6009964,06-28-22,Cancelled,Merchant,Amazon.in,Standard,SET144,SET144-KR-NP-M,Set,M,B0822VVHCN,,0,INR,727.62,MUMBAI,MAHARASHTRA,400078.0,IN,,False,Easy Ship,False
92785,405-4034297-6023559,06-28-22,Cancelled,Amazon,Amazon.in,Expedited,J0011,J0011-LCD-M,Set,M,B08B3YNJG5,Unshipped,1,INR,1603.0,Mumbai,MAHARASHTRA,400028.0,IN,,False,,False
92806,405-0278233-6386749,06-28-22,Cancelled,Amazon,Amazon.in,Expedited,J0011,J0011-LCD-M,Set,M,B08B3YNJG5,Cancelled,0,,,Mumbai,MAHARASHTRA,400028.0,IN,,False,,False
93150,407-9693313-2113110,06-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET305,SET305-KR-DPT-L,Set,L,B09K3FZQFT,Cancelled,0,,,MUMBAI,MAHARASHTRA,400056.0,IN,,False,,False
93191,407-3703598-0813902,06-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3500,JNE3500-KR-XS,kurta,XS,B098117DJ3,Cancelled,0,,,MUMBAI,MAHARASHTRA,400093.0,IN,,False,,False
93594,404-9483397-5401156,06-27-22,Cancelled,Merchant,Amazon.in,Standard,J0230,J0230-SKD-XXXL,Set,3XL,B08XNH9MJL,,0,INR,1038.39,MUMBAI,MAHARASHTRA,400081.0,IN,,False,Easy Ship,False
93757,405-5954187-9969122,06-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3487,JNE3487-KR-XXL,kurta,XXL,B08RNX8Q22,Unshipped,1,INR,345.0,MUMBAI,MAHARASHTRA,400092.0,IN,,False,,False
93847,404-0715658-3889120,06-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET400,SET400-KR-NP-XL,Set,XL,B09W64MGVN,Cancelled,0,,,Mumbai,MAHARASHTRA,400008.0,IN,,False,,False
93924,402-7612561-6511527,06-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3518,JNE3518-KR-M,kurta,M,B08XW581QN,Cancelled,0,,,MUMBAI,MAHARASHTRA,400051.0,IN,,False,,False
